,Management,Business & Financial Operations,Computer & Mathematical,Architecture & Engineering,"Life, Physical, & Social Science",Community & Social Service,Legal,"Education, Training, & Library","Arts, Design, Entertainment, Sports, & Media",Healthcare Practitioners & Technical,Healthcare Support,Protective Service,Food Preparation & Serving Related,Building & Grounds Cleaning & Maintenance,Personal Care & Service,Sales & Related,Office & Administrative Support,"Farming, Fishing, & Forestry",Construction & Extraction,"Installation, Maintenance, & Repair",Production,Transportation & Material Moving,CoL Per Year,Leisure,Health
"Cherry Hill, NJ",67033.306079748,30053.111279747995,40960.352579748,34828.734779747996,32150.068679748,10600.472579747999,36462.25457974799,15386.391379747998,12262.934379747996,30620.420879747995,-1412.5138202519993,4822.439479747998,-6416.7388202520015,-1865.3263202519993,-4038.826320252003,-1226.213820252,2095.9036797480003,-4500.263820251999,14932.004479748,11286.038779748,2858.4736797479964,770.473679748,26965.801320252,327.99999995999997,2737
"Chesapeake, VA",63229.309379149985,31270.87437914999,44563.18187914998,33303.511879149984,31203.681879149994,8200.004379149996,40074.90937914999,11522.781879149992,12860.129379149996,20909.501879149993,-1635.8631208500046,5264.48687914999,-8531.703120850008,-5071.445620850009,-7025.7056208500035,-4132.150620850003,3778.65437914999,377.6168791499913,4573.054379149991,8950.681879149994,2831.134379149993,1418.0793791499927,25818.185620850007,565.75000004,2472
"Cheyenne, WY",48724.94592554999,26366.28592555,26895.905925549996,36372.12592555,22531.02592555,15894.78592555,28604.88592555,16079.645925550001,12204.665925549998,29029.985925549998,5568.585925549996,12123.485925549998,-2406.8540744500024,3224.2659255499966,816.5859255499963,2183.2259255499994,9415.945925549997,4736.105925549997,16858.085925549996,20596.625925549997,18213.725925549996,11080.625925549997,21553.014074450002,430.00000004000003,2172
"Chicago, IL",32852.64348265501,11166.925982655004,23044.190982655004,20545.81548265501,9348.711482655002,-5658.680517344994,24849.57148265501,-1269.836517344993,-3869.686017344997,10686.256982655003,-14307.520017344996,-5643.340017344995,-20116.867517344996,-14427.112017344993,-18229.141017345,-14418.807017344996,-8044.7195173449945,-12872.416017344996,11347.35948265501,-2539.445517344997,-9189.979017344995,-11573.514017344994,37964.312517344995,662.29934784,2473
"Chula Vista, CA",44361.64197484299,17462.498974842994,34158.54297484299,30069.165974842996,18699.098974843,757.9879748429958,36196.89497484299,4430.8879748430045,6416.225974843001,23742.670974843008,-6096.572025156998,-761.012025156997,-13589.352025157,-9492.672025156997,-13761.552025156998,-8853.432025156999,-6469.752025156999,-14401.632025157,3696.5879748430016,470.28797484299866,-7876.792025156996,-8441.772025156995,34785.912025157,459.99999996,2121
"Cincinnati, OH",43718.122383957016,21353.06838395701,32017.56608395701,29970.972283957006,19298.27628395701,5911.9429839570075,23507.730683957005,12236.55878395701,3645.7290839570087,19083.62988395701,-4392.18901604299,3985.6149839570026,-9569.386316042994,-5529.040116042994,-7418.406716042995,-4147.3026160429945,2701.863883957005,-2240.079716042994,8840.226683957011,6716.86698395701,4267.266183957006,-184.90461604299344,26811.198816042994,373.56272723999996,2332
"Cleveland, OH",42828.584244761005,20463.530244761005,31128.027944761005,29081.434144761002,18408.738144761006,5022.404844761004,22618.192544761,11347.020644761007,2756.190944761005,18194.091744761008,-5281.727155238994,3096.076844760999,-10458.924455238997,-6418.578255238997,-8307.944855238999,-5036.840755238998,1812.3257447610013,-3129.6178552389974,7950.6885447610075,5827.328844761007,3377.728044761003,-1074.442755238997,27700.736955238997,521.99999996,2332
"Coeur d'Alene, ID",28688.152847997993,18467.576147997996,25698.237947997997,32709.293447998,13619.891447997998,6871.794947997998,22576.132847997997,6789.2627479979965,4762.5127479979965,22122.706247997998,567.1402479979988,5299.726547997998,-6771.316152002004,-2810.2359520020036,-4536.216252002003,-1750.6510520020056,3328.384447997996,-2968.3224520020012,4992.704147997996,6827.731547997999,4053.150247997997,3461.3392479979957,22767.237852002003,586.75,1839
"Columbia, MD",52042.562181666,23481.934681665996,36965.112181666,33674.074681665996,26593.962181666,2413.037181665997,17453.459681665998,9699.947181665993,6550.197181665993,21945.149681666,-6861.467818334,868.1946816659984,-14774.380318334002,-10501.157818334003,-12753.902818334001,-10004.987818334,-1209.6253183340013,-4609.555318333998,785.4221816659992,3995.9696816659925,-3119.3803183340024,-3846.985318334002,33281.687818334,360.0,2479
"Columbia, MO",43204.995795883005,22588.545795882994,32902.101795883,30908.505795882993,15149.949795883003,7856.861795882996,27607.383795882997,8390.889795882998,8129.529795882994,18592.641795883,-2348.3682041169996,6735.153795883001,-7268.8502041169995,-3266.054204117001,-5568.942204117,-2502.004204117002,4058.0877958829988,906.0717958829991,13342.209795882998,7173.387795882998,4899.781795882998,3004.9377958829973,23880.536204117,548.5999999999999,2267
"Columbia, SC",36292.40683424101,16166.736834240997,24500.006834241,28451.866834241002,16758.166834241005,3012.566834240999,14705.556834240997,8110.366834241002,5343.086834241003,16802.186834240994,-4130.673165758999,3593.486834241001,-9463.713165758998,-6980.253165759001,-8763.873165758996,-5697.213165758996,926.9668342410005,1402.4368342410016,5143.826834241001,4414.816834240999,3643.7068342409984,-1472.2531657590007,25312.173165759,425.125,2342
"Columbus, GA",48029.21463995799,22951.04713995799,34435.839639957994,29996.86713995799,18461.432139957986,6309.704639957989,31170.92963995799,10390.384639957992,9706.177139957996,20066.82713995799,-1606.432860042005,5272.9571399579945,-8730.927860042008,-4897.255360042007,-6640.955360042011,-4059.9503600420067,2793.942139957995,-3797.572860042008,6820.902139957991,6525.0096399579925,1152.2321399579887,230.20963995798957,24772.96786004201,491.25000004,2392
"Columbus, OH",43072.171622761016,20707.11762276101,31371.61532276101,29325.021522761006,18652.32552276101,5265.992222761008,22861.779922761005,11590.608022761011,2999.778322761009,18437.679122761012,-5038.13977723899,3339.6642227610027,-10215.337077238994,-6174.990877238994,-8064.357477238995,-4793.253377238994,2055.913122761005,-2886.0304772389936,8194.275922761011,6070.91622276101,3621.3154227610066,-830.8553772389932,27457.149577238994,434.43555559999993,2332
"Corpus Christi, TX",58830.86786609501,32130.367866095003,42232.467866095,41951.267866095004,25478.527866095,12054.727866095003,39668.227866094996,16219.147866095002,12255.187866095002,26072.107866095,-727.8121339049976,8283.427866095,-6050.932133905,-3425.8921339049994,-6485.652133904998,557.8678660950027,6070.187866095002,-3271.8921339049994,6590.047866095003,9286.507866095002,5889.787866095001,4450.107866095001,24237.892133905,366.5,2174
"Dallas, TX",51591.41466297601,24890.914662975996,34993.014662976,34711.814662976,18239.074662975992,4815.274662975997,32428.77466297599,8979.694662975995,5015.734662975996,18832.654662975994,-7967.265337024004,1043.9746629759939,-13290.385337024007,-10665.345337024006,-13725.105337024004,-6681.585337024004,-1169.265337024004,-10511.345337024006,-649.4053370240035,2047.0546629759956,-1349.6653370240056,-2789.345337024006,31477.345337024006,565.2246153599999,2174
"Davenport, IA",35409.375999614,20573.499099613993,30116.056599613996,25712.383899613993,17444.86869961399,6475.884099613995,20231.988699613994,9575.484099613994,6514.869099613996,17967.718299614,1985.127899613999,7147.464099613997,-5956.263900386002,-1390.8181003860045,-3151.5654003860036,-1677.1377003860034,5993.304099613997,4041.931599613996,8881.661599613999,9538.891599613995,6363.6315996139965,6026.821599613995,22767.980900386003,597.4399999999999,2237
"Daytona Beach, FL",49289.049243931004,23731.509243931,32758.449243930994,29677.449243930994,19222.329243931,6913.149243930999,27197.829243931,11109.549243931,9553.449243930994,23137.929243930997,489.8892439309966,6672.769243930998,-5648.110756069003,-3629.3907560690022,-4281.470756069004,-1882.590756069003,3938.6092439309978,-5376.1907560690015,8157.329243930999,6295.389243930997,2608.0492439309965,1214.1292439309982,24749.390756069002,409.04999999999995,2555
"Decatur, IL",49606.697681222,27920.980181221996,39798.245181221995,37299.869681222,26102.765681221994,11095.373681221998,41603.625681222,15484.217681221999,12884.368181221995,27440.311181221994,2446.534181221996,11110.714181221996,-3362.813318778004,2326.942181221999,-1475.086818778007,2335.2471812219956,8709.334681221997,3881.638181221995,28101.413681222002,14214.608681221995,7564.075181221997,5180.540181221997,21210.258318778004,381.75,2473
"Delray Beach, FL",46481.457994385004,20923.917994385003,29950.857994384998,26869.857994384998,16414.737994385003,4105.5579943850025,24390.237994385003,8301.957994385004,6745.857994384998,20330.337994385,-2317.7020056149995,3865.1779943850015,-8455.702005615,-6436.982005614998,-7089.062005615,-4690.182005614999,1131.0179943850017,-8183.782005614998,5349.737994385003,3487.7979943850005,-199.54200561499965,-1593.462005614998,27556.982005615,295.0,2555
"Deltona, FL",51999.791566233005,26442.251566233,35469.191566233,32388.191566232996,21933.071566233,9623.891566233,29908.571566233,13820.291566233002,12264.191566232996,25848.671566233,3200.631566232998,9383.511566232999,-2937.368433767002,-918.6484337670008,-1570.7284337670026,828.1515662329984,6649.351566232999,-2665.448433767,10868.071566233,9006.131566232998,5318.791566232998,3924.8715662329996,22038.648433767,295.75,2555
"Denton, TX",55402.950845356005,28702.450845355997,38804.550845355996,38523.350845356,22050.610845355994,8626.810845355998,36240.31084535599,12791.230845355996,8827.270845355997,22644.190845355995,-4155.729154644003,4855.510845355995,-9478.849154644005,-6853.809154644005,-9913.569154644003,-2870.0491546440026,2642.270845355997,-6699.809154644005,3162.1308453559977,5858.590845355997,2461.8708453559957,1022.1908453559954,27665.809154644005,316.5,2174
"Denver, CO",47721.160580008,17148.848180007997,32303.099480008008,24182.620880008006,14703.426080008001,-482.69651999199414,25834.836380007997,-354.299019991995,-2037.4068199920002,17254.500980008008,-7905.867819991996,-4278.860319991996,-16808.116419992002,-12211.094619992,-14741.374119992,-9209.774619992,-4157.552619991999,-12939.748419992,-1697.7037199920014,38.230480008001905,-5581.512219991997,-6336.0107199919985,35624.725419992,489.894,2367
"Des Moines, IA",32916.09169584701,18080.214795847,27622.772295847004,23219.099595847,14951.584395847,3982.5997958470034,17738.704395847002,7082.199795847002,4021.584795847004,15474.433995847008,-508.15640415299276,4654.179795847005,-8449.548204152994,-3884.1024041529963,-5644.849704152995,-4170.422004152995,3500.0197958470053,1548.647295847004,6388.377295847007,7045.607295847003,3870.3472958470047,3533.5372958470034,25261.265204152995,443.33333336,2237
"Des Plaines, IL",39518.034835867,17832.317335867,29709.582335867,27211.206835867004,16014.102835866997,1006.7108358670012,31514.962835867005,5395.554835867002,2795.705335866998,17351.648335866998,-7642.128664133001,1022.0513358669996,-13451.476164133,-7761.720664132998,-11563.749664133004,-7753.415664133001,-1379.3281641329995,-6207.024664133001,18012.750835867006,4125.945835866998,-2524.5876641329996,-4908.1226641329995,31298.921164133,660.0,2473
"Detroit, MI",45773.31804913901,19888.710549139007,28803.610549139008,31511.710549139007,13887.673049139008,4685.148049139007,24752.523049139007,4806.835549139007,3721.973049139011,19502.26054913901,-3991.4769508609934,1430.5605491390052,-11280.23945086099,-7454.539450860993,-9108.601950860993,-6144.689450860991,489.1480491390066,-6093.601950860993,7158.723049139004,4594.435549139005,1299.010549139006,-1777.1269508609948,28605.601950860993,358.15789467999997,2214
"Dothan, AL",50030.91997773099,27522.309977730998,37464.909977731,40301.789977730994,21499.809977730998,10768.079977731002,27529.609977730994,13959.639977731,9876.229977731,18645.509977730995,-216.5700222689993,8458.589977730997,-4570.750022269003,-1702.270022269,-4365.740022269005,-549.400022269001,5743.659977730997,5726.229977731,11113.759977730995,11444.059977730998,5248.149977730998,3250.339977730997,20802.230022269003,551.25000004,2496
"Durham, NC",47285.940696258,18750.088196258002,30932.078196258,24400.580696257995,14304.335696258,2278.0331962579985,15277.003196257996,2128.168196257997,2248.2056962580027,13923.125696257994,-8653.016803742,72.14319625799908,-13896.884303742001,-10372.561803741999,-12074.729303741999,-8720.871803742,-2115.766803742001,-7026.979303741999,1255.4681962580034,1304.638196257998,-3937.094303742,-5903.234303742,30292.141803742,449.99999996,2165
"Edison, NJ",59570.98461445499,22590.78981445499,33498.031114455,27366.413314454992,24687.747214454997,3138.151114454995,28999.933114454987,7924.069914454994,4800.612914454992,23158.09941445499,-8874.835285545003,-2639.8819855450056,-13879.060285545005,-9327.647785545003,-11501.147785545007,-8688.535285545004,-5366.417785545003,-11962.585285545003,7469.683014454997,3823.717314454996,-4603.847785545007,-6691.847785545004,34428.122785545005,424.976,2737
"El Paso, TX",63550.76425348101,36850.264253481,46952.364253481,46671.164253481,30198.424253480996,16774.624253481,44388.12425348099,20939.044253481,16975.084253481,30792.004253480998,3992.084253481,13003.324253480998,-1331.0357465190027,1294.0042534809982,-1765.7557465190002,5277.764253481,10790.084253481,1448.0042534809982,11309.944253481,14006.404253481,10609.684253480998,9170.004253480998,19517.995746519002,291.78846152,2174
"Elkhart, IN",38335.19404373101,22077.135743731007,30668.956443731004,30222.579543731008,17507.941043731007,7070.796743731007,27391.787343731005,9216.695743731008,9485.912043731005,21807.96374373101,1524.3136437310059,8788.254943731008,-5582.803156268994,-1179.0016562689925,-3890.7939562689935,-1004.3754562689937,5736.534943731007,529.9615437310094,12516.295843731008,9855.231543731003,7453.975143731004,4768.461543731009,22465.596356268994,290.0,2268
"Eugene, OR",37619.413861304994,20127.323861304998,31354.243861305004,30881.663861304994,15598.853861304997,6356.993861304996,27027.323861304998,9168.053861304994,7677.653861305,30161.643861304998,2738.3138613049996,7421.6638613049945,-6445.436138695,-3308.346138695004,-4852.006138695004,-2552.3161386950014,3559.1238613049973,-959.676138695002,8224.133861304996,6030.623861305001,2859.9738613049994,1616.5138613050003,25811.496138695,548.75000004,2000
"Everett, WA",54235.768602567,24272.908602566997,48653.568602567,37590.24860256699,20959.468602566994,5312.6686025669915,31226.768602566997,7431.148602566995,7278.268602566997,27282.148602566995,-2710.631397433008,8754.80860256699,-9726.871397433006,-5155.271397433007,-7599.031397433006,-4095.751397433007,-1788.4513974330075,-6694.391397433006,10439.608602566994,7800.08860256699,-921.8713974330094,-375.11139743300737,32937.75139743301,536.0,1955
"Fairfax, VA",53315.860010887984,21357.425010887986,34649.73251088798,23390.062510887983,21290.23251088799,-1713.4449891120094,30161.46001088799,1609.3325108879872,2946.6800108879906,10996.052510887988,-11549.31248911201,-4648.962489112015,-18445.152489112013,-14984.894989112014,-16939.15498911201,-14045.599989112008,-6134.794989112015,-9535.832489112014,-5340.394989112014,-962.7674891120114,-7082.314989112012,-8495.369989112012,35731.63498911201,575.0,2472
"Fargo, ND",44883.488337413,24843.038437412997,27702.932437413005,31368.002437413004,26242.221637412997,16943.198437413,31594.363237413,14216.234437413,11024.291237413,24577.938037412994,8601.519237413002,12504.855637412995,-731.5407625869993,4310.397237412999,3774.224237413,5659.954237413,10398.611237412999,10121.400237413,18412.264837412997,17834.209237413004,8445.870237412997,11222.729237412997,21345.958762587,495.87499996,2130
"Flagstaff, AZ",35221.704086245,18533.589686245003,32221.97048624501,30112.434486245,14216.416886245002,1914.2616862450013,30135.300086245006,3196.5768862450022,4885.680086245004,24012.482486245004,-2461.5511137549947,4010.152886245007,-9128.938313754996,-6948.163913754997,-7744.887113754998,-5301.943113754998,1421.7320862450033,-9391.107913754997,2951.011286245004,4171.375286245002,516.0840862450059,-981.1975137549962,28138.787913754997,650.0999999999999,2262
"Fort Collins, CO",52766.453236992,22194.140836991995,37348.392136992006,29227.913536992004,19748.718736992,4562.596136992004,30880.129036991995,4690.993636992003,3007.885836991998,22299.793636992006,-2860.5751630079976,766.4323369920021,-11762.823763008004,-7165.801963008002,-9696.081463008002,-4164.481963008002,887.7400369919997,-7894.455763008002,3347.588936991997,5083.523136992,-536.2195630079987,-1290.7180630080002,30579.432763008,664.99999996,2367
"Fort Lauderdale, FL",39803.28726848101,14245.747268481013,23272.687268481008,20191.687268481008,9736.567268481012,-2572.612731518988,17712.067268481012,1623.7872684810136,67.68726848100778,13652.167268481011,-8995.87273151899,-2812.992731518989,-15133.87273151899,-13115.152731518989,-13767.23273151899,-11368.35273151899,-5547.152731518989,-14861.952731518988,-1328.4327315189876,-3190.37273151899,-6877.71273151899,-8271.632731518988,34235.15273151899,356.4705882,2555
"Fort Myers, FL",45737.57945781501,20180.039457815004,29206.979457815,26125.979457815,15670.859457815004,3361.679457815004,23646.359457815004,7558.079457815005,6001.9794578149995,19586.459457815003,-3061.580542184998,3121.299457815003,-9199.580542184998,-7180.860542184997,-7832.940542184999,-5434.060542184998,387.13945781500297,-8927.660542184996,4605.859457815004,2743.919457815002,-943.4205421849983,-2337.3405421849966,28300.860542184997,373.32,2555
"Fort Wayne, IN",37792.61526164801,21534.556961648002,30126.377661648,29680.000761648003,16965.362261648002,6528.2179616480025,26849.208561648,8674.116961648004,8943.333261648,21265.384961648004,981.7348616480012,8245.676161648003,-6125.3819383519985,-1721.5804383519971,-4433.372738351998,-1546.9542383519984,5193.956161648002,-12.617238351995184,11973.717061648003,9312.652761647998,6911.396361648,4225.882761648005,23008.175138352,415.91142851999996,2268
"Fort Worth, TX",54968.89905452401,28268.399054524,38370.499054524,38089.299054524,21616.559054523997,8192.759054524002,35806.259054523995,12357.179054524,8393.219054524001,22210.139054524,-4589.780945475999,4421.459054523999,-9912.900945476002,-7287.860945476001,-10347.620945476,-3304.1009454759987,2208.219054524001,-7133.860945476001,2728.0790545240015,5424.539054524001,2027.8190545239995,588.1390545239992,28099.860945476,475.70571431999997,2174
"Fremont, CA",35495.66029628199,8596.517296281992,25292.561296281987,21203.184296281994,9833.117296281998,-8107.993703718006,27330.913296281986,-4435.093703717997,-2449.7557037180013,14876.689296282006,-14962.553703718,-9626.993703717999,-22455.333703718003,-18358.653703718,-22627.533703718,-17719.413703718,-15335.733703718,-23267.613703718,-5169.393703718,-8395.693703718003,-16742.773703717998,-17307.753703717997,43651.893703718,600.0,2121
"Fresno, CA",53071.81004669399,26172.66704669399,42868.711046693985,38779.33404669399,27409.267046693996,9468.156046693992,44907.063046693984,13141.056046694,15126.394046693997,32452.839046694004,2613.596046693998,7949.156046693999,-4879.183953306005,-782.5039533060008,-5051.383953306002,-143.2639533060028,2240.4160466939975,-5691.4639533060035,12406.756046693998,9180.456046693995,833.3760466940003,268.3960466940007,26075.743953306002,320.79200004,2121
"Garden Grove, CA",56199.02833662299,29299.885336622996,45995.92933662299,41906.552336623,30536.485336623,12595.374336622997,48034.28133662299,16268.274336623006,18253.612336623002,35580.05733662301,5740.814336623003,11076.374336623005,-1751.9656633769991,2344.714336623005,-1924.1656633769962,2983.9543366230027,5367.634336623003,-2564.245663376998,15533.974336623003,12307.674336623,3960.594336623006,3395.6143366230062,22948.525663376997,232.5,2121
"Garland, TX",55819.89629070301,29119.396290703,39221.496290703,38940.296290703,22467.556290702996,9043.756290703,36657.25629070299,13208.176290702999,9244.216290703,23061.136290702998,-3738.7837092970003,5272.456290702998,-9061.903709297003,-6436.863709297002,-9496.623709297,-2453.103709297,3059.2162907029997,-6282.863709297002,3579.0762907030003,6275.536290702999,2878.8162907029982,1439.136290702998,27248.863709297002,370.00000004000003,2174
"Geneva, IL",37741.588459686005,16055.870959685999,27933.135959686,25434.760459686004,14237.656459685997,-769.7355403139991,29738.516459686005,3619.108459686002,1019.258959685998,15575.201959685997,-9418.575040314001,-754.3950403140007,-15227.922540314,-9538.167040313998,-13340.196040314004,-9529.862040314001,-3155.7745403139998,-7983.471040314002,16236.304459686005,2349.499459685998,-4301.034040314,-6684.569040314,33075.367540314,357.5,2473
"Germantown, MD",51242.328060748,22681.700560747995,36164.878060748,32873.840560747994,25793.728060748,1612.803060747996,16653.225560747996,8899.713060747992,5749.963060747992,21144.915560748,-7661.7019392520015,67.96056074799708,-15574.614439252004,-11301.391939252004,-13554.136939252003,-10805.221939252002,-2009.8594392520026,-5409.789439251999,-14.811939252002048,3195.7355607479913,-3919.6144392520036,-4647.219439252003,34081.921939252,450.0,2479
"Glendale, CA",37738.27528187999,10839.132281879996,27535.17628187999,23445.799281879998,12075.732281880002,-5865.378718120002,29573.52828187999,-2192.4787181199936,-207.14071811999747,17119.30428188001,-12719.938718119996,-7384.378718119995,-20212.71871812,-16116.038718119995,-20384.918718119996,-15476.798718119997,-13093.118718119997,-21024.998718119998,-2926.7787181199965,-6153.078718119999,-14500.158718119994,-15065.138718119993,41409.27871812,722.8,2121
"Grand Forks, ND",42308.488337813,22268.038437813,25127.932437813008,28793.002437813007,23667.221637813,14368.198437813004,29019.363237813002,11641.234437813004,8449.291237813002,22002.938037812997,6026.519237813005,9929.855637812998,-3306.5407621869963,1735.397237813002,1199.2242378130031,3084.9542378130027,7823.611237813002,7546.400237813003,15837.264837813,15259.209237813007,5870.870237813,8647.729237813,23920.958762186998,769.87500004,2130
"Grand Junction, CO",61239.226913622,30666.914513621992,45821.16581362201,37700.687213622004,28221.492413621996,13035.369813622001,39352.902713621996,13163.767313622,11480.659513621995,30772.567313622003,5612.198513621999,9239.206013621999,-3290.050086378007,1306.9717136219951,-1223.3077863780054,4308.291713621995,9360.513713621996,578.3179136219951,11820.362613621994,13556.296813621997,7936.554113621998,7182.055613621997,22106.659086378004,417.29999999999995,2367
"Grand Rapids, MI",44025.925464249,18141.317964249003,27056.217964249005,29764.317964249003,12140.280464249005,2937.755464249003,23005.130464249003,3059.442964249003,1974.5804642490075,17754.867964249006,-5738.869535750997,-316.83203575099833,-13027.632035750994,-9201.932035750997,-10855.994535750997,-7892.082035750995,-1258.2445357509969,-7840.994535750997,5411.330464249,2847.0429642490017,-448.3820357509976,-3524.5195357509983,30352.994535750997,480.16666664,2214
"Grapevine, TX",56072.118615242005,29371.618615241998,39473.718615241996,39192.518615242,22719.778615241994,9295.978615241998,36909.47861524199,13460.398615241997,9496.438615241997,23313.358615241996,-3486.5613847580025,5524.678615241995,-8809.681384758005,-6184.641384758004,-9244.401384758003,-2200.8813847580022,3311.4386152419975,-6030.641384758004,3831.298615241998,6527.758615241997,3131.038615241996,1691.3586152419957,26996.641384758004,152.5,2174
"Green Bay, WI",45309.420287175,19932.411787175006,29015.581687175,26426.128687174998,18530.090287175,6443.585287175003,22906.337587175003,10435.359787175003,5971.601887175002,22655.282587175003,1792.2553871750024,6333.121087174997,-7141.515312824995,-2924.3829128249963,-4463.358812824998,-1268.5331128249964,5146.4545871750015,2178.8382871750036,12700.593187175007,9011.519287175004,6214.665687175002,4414.971087175003,23876.685712824998,470.0,2384
"Greenville, SC",31855.11622269501,11729.446222694998,20062.716222695002,24014.576222695003,12320.876222695006,-1424.723777305,10268.266222694998,3673.076222695003,905.796222695004,12364.896222694995,-8567.963777304998,-843.8037773049982,-13901.003777304997,-11417.543777305,-13201.163777304995,-10134.503777304995,-3510.3237773049987,-3034.8537773049975,706.5362226950019,-22.473777305000112,-793.5837773050007,-5909.543777305,29749.463777304998,429.0,2342
"Gulfport, MS",29190.942603820014,20344.802603820008,24827.732603820008,30896.222603820006,17934.342603820016,8723.182603820012,22823.152603820006,8607.13260382001,9132.372603820007,17386.112603820005,-2043.5773961799896,3599.5926038200087,-5544.51739617999,-4417.3773961799925,-4989.2473961799915,-3196.4473961799886,3181.272603820009,6297.92260382001,9004.552603820011,7361.022603820009,4222.92260382001,1542.022603820009,21656.47739617999,350.0,2383
"Hanover, NH",40751.83749891601,15445.207498915996,26553.25749891599,24809.647498915998,15219.637498915996,-835.9825010840032,20994.667498915995,2460.6974989159935,-1579.1225010840026,19019.287498915997,-5155.832501084005,1800.0474989159993,-14633.602501084002,-9399.622501084003,-12003.332501084005,-9664.392501084003,-2722.272501084004,-5070.342501084,215.21749891599757,2611.077498915991,-2500.662501084007,-6043.932501084004,33375.002501084,1192.8000000000002,2668
"Harrisburg, PA",57583.17223902201,27723.805739021995,37404.761739022,33435.719639022005,26582.621839022006,7960.268939022004,34930.573139022,18119.278339022003,10210.416839022004,24948.398539022,2695.531939022003,9545.136439022,-5281.0936609779965,-248.99116097799924,-2878.423960977998,100.92043902200021,7038.002839022003,2389.7839390220033,12623.162839022003,10966.460539021999,8706.877339022001,5290.143439022002,23165.653060978,375.0,2321
"Hartford, CT",54623.145809354,24276.370809354,32624.275809354007,29730.955809353993,24522.870809354,8271.270809354002,28889.890809354005,13417.320809354005,7256.995809354001,25998.970809354007,-3020.374190645998,7584.695809354005,-11396.734190645999,-5317.8141906460005,-9151.584190646001,-5556.854190645998,-864.5841906459973,-7401.114190646,9598.745809354,7443.320809353998,-1848.6241906459982,-1671.6241906459982,31436.254190646,505.00000004,2483
"Hattiesburg, MS",29415.18358991101,20569.043589911,25051.973589911002,31120.463589911,18158.58358991101,8947.423589911006,23047.393589911,8831.373589911003,9356.613589911001,17610.353589911,-1819.3364100889958,3823.8335899110025,-5320.276410088996,-4193.136410088999,-4765.006410088998,-2972.2064100889947,3405.513589911003,6522.163589911004,9228.793589911005,7585.263589911003,4447.163589911004,1766.2635899110028,21432.236410088997,380.0,2383
"Hayward, CA",34326.160696539984,7427.017696539988,24123.061696539982,20033.68469653999,8663.617696539994,-9277.49330346001,26161.41369653998,-5604.593303460002,-3619.255303460006,13707.189696540001,-16132.053303460005,-10796.493303460004,-23624.833303460007,-19528.153303460003,-23797.033303460004,-18888.913303460005,-16505.233303460005,-24437.113303460006,-6338.893303460005,-9565.193303460008,-17912.273303460002,-18477.253303460002,44821.393303460005,422.5,2121
"Henderson, NV",45103.053515247,21282.873515247,30397.953515247,32163.093515247,20873.373515247,12239.553515247,43883.25351524701,10305.933515246998,10081.293515246998,35453.133515247,2698.333515246999,4761.933515246998,-6173.826484753001,27.53351524699974,-7586.226484753002,-3765.2664847529995,3422.573515246997,-135.26648475299953,9727.953515247002,11421.333515246999,1503.2935152469981,272.17351524699916,27583.346484753,349.84000000000003,2213
"Hilo, HI",36061.56698994799,17273.31698994799,27096.209489947993,28853.909489947997,18478.596989947997,7916.354489947989,28150.829489947995,6194.924489947996,5864.309489947998,30562.299489947996,-892.773510052004,2150.2844899479896,-5871.945510052006,305.99048994799523,-6401.781510052006,-5590.545510052005,-1218.020510052007,1080.494489947996,17660.429489947994,9939.801989947991,1591.5324899479965,1797.3894899479928,28476.405510052005,639.99999996,1665
"Hollywood, FL",41752.544639924,16195.004639924002,25221.944639923997,22140.944639923997,11685.824639924002,-623.3553600759988,19661.324639924,3573.0446399240027,2016.9446399239969,15601.424639924,-7046.615360076001,-863.7353600759998,-13184.615360076,-11165.895360076,-11817.975360076001,-9419.095360076,-3597.8953600759996,-12912.695360075999,620.8246399240015,-1241.1153600760008,-4928.455360076001,-6322.375360075999,32285.895360076,484.68,2555
"Honolulu, HI",25984.083578558995,7195.833578558995,17018.726078558997,18776.426078559,8401.113578559001,-2161.1289214410062,18073.346078559,-3882.5589214409993,-4213.173921440997,20484.816078559,-10970.256921441,-7927.198921441006,-15949.428921441002,-9771.492921441,-16479.264921441,-15668.028921441,-11295.503921441003,-8996.988921441,7582.946078558998,-137.6814214410042,-8485.950921440999,-8280.093921441003,38553.888921441,640.0,1665
"Houston, TX",51950.47501644001,25249.975016440003,35352.07501644,35070.875016440004,18598.13501644,5174.3350164400035,32787.835016439996,9338.755016440002,5374.795016440003,19191.71501644,-7608.204983559997,1403.0350164400006,-12931.32498356,-10306.28498356,-13366.044983559997,-6322.524983559997,-810.2049835599973,-10152.28498356,-290.34498355999676,2406.1150164400024,-990.6049835599988,-2430.284983559999,31118.28498356,506.73052628,2174
"Huntington Beach, CA",40771.887997187,13872.744997187001,30568.788997186995,26479.411997187002,15109.344997187007,-2831.7660028129976,32607.140997186994,841.1339971870111,2826.471997187007,20152.916997187014,-9686.326002812992,-4350.76600281299,-17179.106002812994,-13082.42600281299,-17351.30600281299,-12443.186002812992,-10059.506002812992,-17991.386002812993,106.83399718700821,-3119.4660028129947,-11466.54600281299,-12031.526002812989,38375.66600281299,492.0,2121
